x,intensity
490.0,11.97
494.0,0.0
498.0,7.46
502.0,1.59
506.0,3.51
510.0,2.25
514.0,2.54
518.0,2.34
522.0,2.91
526.0,1.28
530.0,1.78
534.0,0.62
538.0,0.8
542.0,5.61
546.0,3.54
550.0,3.79
554.0,5.88
558.0,4.77
562.0,2.96
566.0,2.61
570.0,2.88
574.0,3.68
578.0,4.76
582.0,4.23
586.0,5.16
590.0,4.89
594.0,5.28
598.0,5.51
602.0,7.06
606.0,7.38
610.0,7.67
614.0,6.05
618.0,4.55
622.0,3.72
626.0,3.22
630.0,2.97
634.0,2.7
638.0,2.61
642.0,2.13
646.0,1.95
650.0,1.65
654.0,1.74
658.0,1.37
662.0,1.71
666.0,1.3
670.0,1.49
674.0,1.12
678.0,1.39
682.0,1.29
686.0,1.43
690.0,1.44
694.0,1.35
698.0,1.74
702.0,1.21
706.0,1.69
710.0,1.71
714.0,2.17
718.0,2.33
722.0,2.68
726.0,2.93
730.0,3.34
734.0,2.85
738.0,3.13
742.0,3.03
746.0,2.9
750.0,2.73
754.0,2.84
758.0,3.57
762.0,4.12
766.0,4.45
770.0,3.83
774.0,3.99
778.0,4.89
782.0,4.46
786.0,4.06
790.0,3.6
794.0,3.77
798.0,3.08
802.0,3.43
806.0,3.57
810.0,3.11
814.0,2.82
818.0,2.87
822.0,1.86
826.0,1.7
830.0,1.92
834.0,2.34
838.0,1.89
842.0,2.4
846.0,2.07
850.0,2.03
854.0,1.79
858.0,1.82
862.0,2.05
866.0,1.85
870.0,2.01
874.0,1.94
878.0,2.07
882.0,1.94
886.0,2.18
890.0,2.05
894.0,2.4
898.0,2.24
902.0,2.5
906.0,2.3
910.0,2.33
914.0,2.25
918.0,2.27
922.0,2.3
926.0,2.14
930.0,2.34
934.0,2.16
938.0,2.18
942.0,2.11
946.0,2.39
950.0,2.43
954.0,2.6
958.0,2.53
962.0,2.68
966.0,2.54
970.0,2.43
974.0,2.35
978.0,2.27
982.0,2.14
986.0,1.96
990.0,1.99
994.0,1.87
998.0,1.94
1002.0,1.66
1006.0,1.84
1010.0,1.96
1014.0,2.13
1018.0,1.85
1022.0,1.92
1026.0,1.82
1030.0,1.89
1034.0,1.9
1038.0,1.84
1042.0,1.96
1046.0,1.9
1050.0,1.88
1054.0,1.8
1058.0,2.03
1062.0,1.9
1066.0,2.08
1070.0,1.97
1074.0,2.12
1078.0,2.08
1082.0,2.32
1086.0,2.37
1090.0,2.38
1094.0,2.31
1098.0,2.08
1102.0,2.14
1106.0,2.05
1110.0,2.32
1114.0,2.22
1118.0,2.42
1122.0,2.31
1126.0,2.49
1130.0,2.3
1134.0,2.61
1138.0,2.76
1142.0,3.03
1146.0,3.3
1150.0,3.62
1154.0,4.29
1158.0,4.9
1162.0,5.79
1166.0,6.59
1170.0,7.64
1174.0,8.63
1178.0,10.54
1182.0,13.76
1186.0,18.54
1190.0,21.53
1194.0,20.82
1198.0,16.4
1202.0,11.25
1206.0,8.32
1210.0,7.2
1214.0,7.69
1218.0,7.73
1222.0,7.76
1226.0,6.58
1230.0,5.88
1234.0,5.37
1238.0,5.86
1242.0,6.51
1246.0,7.31
1250.0,7.52
1254.0,7.49
1258.0,7.67
1262.0,7.9
1266.0,8.09
1270.0,7.57
1274.0,7.14
1278.0,6.43
1282.0,6.2
1286.0,5.48
1290.0,5.26
1294.0,4.71
1298.0,4.51
1302.0,4.23
1306.0,4.13
1310.0,3.97
1314.0,3.77
1318.0,3.62
1322.0,3.46
1326.0,3.66
1330.0,3.84
1334.0,4.6
1338.0,5.24
1342.0,5.91
1346.0,5.93
1350.0,5.68
1354.0,5.09
1358.0,4.8
1362.0,4.56
1366.0,4.4
1370.0,4.51
1374.0,5.04
1378.0,6.62
1382.0,8.51
1386.0,9.76
1390.0,8.82
1394.0,6.56
1398.0,4.27
1402.0,3.28
1406.0,2.74
1410.0,2.76
1414.0,2.85
