shift,intensity,atom_or_channel,nucleus,frequency,solvent
0.885,,1H,1H,300.0,CDCl3
1.065,,1H,1H,300.0,CDCl3
1.31,,1H,1H,300.0,CDCl3
3.2800000000000002,,1H,1H,300.0,CDCl3
