x,intensity
569.049,2.18597239125611
570.978,2.357434390570262
572.907,2.4313983902744067
574.836,2.37088239051647
576.765,2.2464883910140467
578.694,2.159076391363694
580.623,1.960718392157126
582.552,1.6682243933271024
584.481,1.3656443945374226
586.4100000000001,1.0260823958956704
588.339,0.7705703969177183
590.2679,0.6596243973615024
592.1968,0.6024703975901184
594.1257,0.5991083976035664
596.0546,0.6327283974690864
597.9835,0.7100543971597825
599.9124,0.7571223969715104
601.8413,0.8008283967966865
603.7702,0.8680683965277264
605.6991,1.0361683958553263
607.628,1.2042683951829263
609.557,1.4127123943491504
611.486,1.7993423928026306
613.4150000000001,2.3607963905568146
615.344,3.1508663873965346
617.273,4.3174803827300785
619.202,6.058996375764014
621.131,8.17033236731867
623.0600000000001,10.25477235898091
624.989,11.85172235259311
626.918,12.856960348572157
628.847,13.455396346178414
630.776,13.599962345600149
632.705,13.320916346716334
634.634,12.406452350374192
636.563,10.712004357151981
638.492,8.543514365825942
640.4209999999999,6.455712374177152
642.35,4.831866380672534
644.279,3.6114603855541585
646.208,2.7776843888892624
648.137,2.2330403910678385
650.066,1.809428392762286
651.995,1.5135723939457104
653.924,1.3084903947660385
655.8530000000001,1.1336663954653343
657.782,1.0731503957073985
659.711,1.0428923958284304
661.64,0.9722903961108383
663.5690000000001,0.9353083962587664
665.498,0.9218603963125583
667.4269,0.9319463962722143
669.3558,0.9622043961511824
671.2847,0.9991863960032543
673.2136,1.0294443958822224
675.1425,1.0126343959494624
677.0714,0.9655663961377343
679.0003,0.9218603963125583
680.9292,0.8882403964470383
682.8581,0.8478963966084143
684.787,0.7974663968101343
686.716,0.7503983969984065
688.645,0.7235023971059904
690.5740000000001,0.6797963972808143
692.503,0.6360903974556383
694.432,0.5822983976708064
696.361,0.5654883977380464
698.29,0.5654883977380464
700.219,0.5083343979666624
702.148,0.4753867980984528
704.077,0.46879727812481087
706.006,0.43484107826063567
707.935,0.4206534383173863
709.864,0.42939463828242136
711.793,0.4577699181689203
713.722,0.4630482581478069
715.651,0.4453305182186779
717.5799999999999,0.43383247826467003
719.509,0.4226033983095864
721.438,0.3927824584288701
723.367,0.38165423847338303
725.2959999999999,0.41749315833002737
727.225,0.42330941830676233
729.154,0.41789659832841364
731.083,0.3894204584423182
733.012,0.38188957847244165
734.941,0.38121717847513126
736.87,0.35190053859239784
738.799,0.3621882585512469
740.7280000000001,0.39311865842752536
742.657,0.39849785840600854
744.586,0.3941608784233565
746.515,0.4118786183524855
748.4440000000001,0.4355470982578116
750.373,0.4641913381432346
752.302,0.4863805380544779
754.231,0.48533831805864674
756.16,0.5049723979801104
758.089,0.5520403977918383
760.018,0.5722123977111504
761.947,0.5554023977783904
763.8759,0.5587643977649424
765.8048,0.6260043974959825
767.7337,0.6327283974690864
769.6626,0.6730723973077104
771.5915,0.7503983969984065
773.5204,0.7739323969042704
775.4493,0.8344483966622065
777.3782,0.9050503963797986
779.3071,0.9722903961108383
781.236,1.0059103959763585
783.165,1.0798743956805026
785.0939999999999,1.1706483953174065
787.023,1.2681463949274143
788.952,1.4463323942146702
790.881,1.7052063931791743
792.81,2.0918363916326546
794.7389999999999,2.703720389185118
796.668,3.4904283860382863
798.597,4.374634382501463
800.526,5.26220237895119
802.4549999999999,5.9312403762750385
804.384,6.287612374849552
806.313,6.3683003745267985
808.242,6.287612374849552
810.171,6.038824375844703
812.1,5.537886377848454
814.029,4.724282381102871
815.958,3.6955103852179585
817.8870000000001,2.7238923891044307
819.816,2.0077863919688546
821.745,1.5371063938515743
823.674,1.2076303951694785
825.6030000000001,0.9857383960570464
827.532,0.8512583965949664
829.461,0.7503983969984065
831.39,0.6663483973346064
833.319,0.5755743976977024
835.248,0.5419543978321825
837.177,0.5318683978725265
839.106,0.5083343979666624
841.0349,0.5285063978859744
842.9638,0.5116963979532143
844.8927,0.4636870381452518
846.8216,0.44960025820159893
848.7505,0.42858775828564893
850.6794,0.4000107583999569
852.6083,0.40115383839538465
854.5372,0.42038447831846204
856.4661,0.4301678982793284
858.395,0.4085838583656646
860.324,0.42078791831684836
862.2529999999999,0.4255955782976177
864.182,0.4145009783419961
866.111,0.4081131783675473
868.04,0.40132193839471225
869.9689999999999,0.39701857841192567
871.8979999999999,0.3810490784758037
873.827,0.391740238433039
875.756,0.41026485835894055
877.685,0.42240167831039327
879.6139999999999,0.4118113783527545
881.543,0.4194431183222275
883.472,0.44247281823010876
885.401,0.4357488182570048
887.3299999999999,0.4288567182845731
889.259,0.4591147181635411
891.188,0.46207327815170685
893.117,0.4394133982423464
895.046,0.45898023816407907
896.975,0.46718351813126596
898.904,0.5016103979935583
900.833,0.5722123977111504
902.7620000000001,0.5957463976170143
904.691,0.6327283974690864
906.62,0.7167783971328865
908.549,0.8075523967697904
910.478,0.9218603963125583
912.407,1.0664263957342943
914.336,1.2715083949139663
916.265,1.5438303938246785
918.194,1.876668392493326
920.1229999999999,2.2969183908123263
922.052,2.7709603889161585
923.981,3.2315543870737824
925.91,3.7123203851507185
927.8389999999999,4.260326382958694
929.7679999999999,4.818418380726326
931.697,5.3428903786284385
933.626,5.894258376422966
935.555,6.445626374217494
937.4839,6.832256372670973
939.4128,7.047424371810302
941.3417,7.107940371568238
943.2706,7.027252371890992
945.1995,6.8557903725768385
947.1284,6.586830373652678
949.0573,6.156494375374023
950.9862,5.500904377996382
952.9151,4.811694380753223
954.844,4.240154383039383
956.773,3.7694743849221024
958.702,3.409740386361038
960.6310000000001,3.1912103872351585
962.5600000000001,3.0668163877327346
964.489,3.039920387840318
966.418,3.100436387598254
968.347,3.24500238701999
970.2760000000001,3.4500843861996624
972.205,3.7022343851910624
974.134,3.9913663840345346
976.063,4.280498382878005
977.992,4.630146381479414
979.921,5.020138379919446
981.85,5.4403883782384455
983.779,6.035462375858152
985.708,6.768378372926486
987.637,7.716462369134152
989.566,8.913334364346662
991.495,10.281668358873327
993.424,11.824826352700693
995.353,13.539446345842213
997.282,15.314582338741669
999.211,17.042650331829396
1001.14,18.730374325078504
1003.069,20.286980318852077
1004.998,21.544368313822524
1006.927,22.35797231056811
1008.856,22.852186308591254
1010.7850000000001,23.205196307179218
1012.714,23.57837830568649
1014.6429,23.90785430436858
1016.5718,23.948198304207207
1018.5007,23.66242830535029
1020.4296,23.084164307663343
1022.3585,22.314266310742934
1024.2874,21.514110313943558
1026.2163,20.784556316861778
1028.1452,19.91716032033136
1030.0741,18.81106232475575
1032.003,17.543588329825646
1033.932,16.229046335083815
1035.8609999999999,15.005278339978886
1037.79,13.872284344510861
1039.7189999999998,12.793082348827669
1041.648,11.710518353157926
1043.577,10.57416235770335
1045.5059999999999,9.474788362100846
1047.435,8.308174366767302
1049.3639999999998,7.023890371904438
1051.293,5.8774483764902055
1053.222,4.8688483805246054
1055.1509999999998,4.018262383926951
1057.08,3.3324143866703424
1059.009,2.8550103885799585
1060.938,2.535620389857518
1062.867,2.28683239085267
1064.796,2.115370391538518
1066.7250000000001,2.0447683918209263
1068.654,2.048130391807478
1070.583,2.1086463915654146
1072.5120000000002,2.1456283914174863
1074.441,2.159076391363694
1076.3700000000001,2.1826103912695585
1078.299,2.159076391363694
1080.228,2.1691623913233506
1082.1570000000002,2.1624383913502467
1084.086,2.1691623913233506
1086.015,2.18597239125611
1087.944,2.20278239118887
1089.873,2.27002239091991
1091.8020000000001,2.37088239051647
1093.731,2.3977783904088863
1095.66,2.4482083902071667
1097.589,2.6734623893061507
1099.518,2.9861283880554863
1101.4470000000001,3.2718983869124063
1103.376,3.5778403856886385
1105.305,4.008176383967294
1107.234,4.579716381681134
1109.163,5.305908378776366
1111.0919,6.334680374661278
1113.0208,7.800512368797952
1114.9497000000001,9.797540360809839
1116.8786,12.443434350226262
1118.8075,15.919742336321029
1120.7364,20.34077231863691
1122.6653000000001,25.56532029773872
1124.5942,31.122706275509177
1126.5230999999999,36.40777025436892
1128.452,40.85569623657722
1130.381,43.91847822432609
1132.31,45.33388021866448
1134.239,44.88001022047995
1136.168,42.54342022982632
1138.097,38.43169424627322
1140.026,32.89448026842208
1141.955,26.617626293529494
1143.884,20.650076317399694
1145.8129999999999,16.07103233571587
1147.742,13.317554346729784
1149.671,11.905514352377942
1151.6,11.014584355941661
1153.529,10.338822358644709
1155.4579999999999,9.656336361374656
1157.387,8.846094364615624
1159.316,7.975336368098655
1161.245,6.9869083720523655
1163.174,5.820294376718823
